Год,Мсц (цифрой),Дата,Сумма,Контрагент,Назначение платежа,Статья,Платеж/поступл
,,01.12.2024,"15 444,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,22.11.2024,"-51 057,73",[counterparty_hash:c7da8c8c1f],,Оплата поставщикам ,
,,02.12.2024,"-7 140,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,02.12.2024,"13 042,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,03.12.2024,"-35 610,00",,,Выбытие — Перевод между счетами,
,,23.11.2024,"-7 081,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,
,,03.12.2024,"-2 000,00",[counterparty_hash:7518be4ba8],[private_purpose_hash:8b5eb4ef95],Содержание торговых точек,
,,03.12.2024,"-9 060,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,03.12.2024,"12 875,45",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,04.12.2024,"-500,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,04.12.2024,"-8 400,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,04.12.2024,"11 421,55",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,23.11.2024,"-7 204,82",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,
,,05.12.2024,"-8 780,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,05.12.2024,"21 860,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,25.11.2024,"-6 145,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,
,,25.11.2024,"-1 176,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,
,,06.12.2024,"-13 420,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,06.12.2024,"14 387,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,06.12.2024,"1 077,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,07.12.2024,"-16 840,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,07.12.2024,"24 966,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,25.11.2024,"-5 342,62",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,
,,07.12.2024,"-122,00",[counterparty_hash:2a84eb0be0],,Расходы на питание персонала,
,,08.12.2024,"-9 900,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,
,,08.12.2024,"21 209,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,22.11.2024,"15 793,60",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,22.11.2024,"-34,82",[counterparty_hash:a079b1ede6],,Эквайринг,
,,22.11.2024,"-182 000,00",,,Выбытие — Перевод между счетами,
,,23.11.2024,"30 709,69",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,23.11.2024,"-13,90",[counterparty_hash:a079b1ede6],,Эквайринг,
,,24.11.2024,"29 090,16",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,24.11.2024,"-71,76",[counterparty_hash:a079b1ede6],,Эквайринг,
,,25.11.2024,"21 239,63",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,25.11.2024,"-13,79",[counterparty_hash:a079b1ede6],,Эквайринг,
,,26.11.2024,"14 836,35",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,26.11.2024,"-16,03",[counterparty_hash:a079b1ede6],,Эквайринг,
,,27.11.2024,"13 384,26",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,27.11.2024,"-30,74",[counterparty_hash:a079b1ede6],,Эквайринг,
,,28.11.2024,"10 003,67",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,28.11.2024,"-13,49",[counterparty_hash:a079b1ede6],,Эквайринг,
,,29.11.2024,"23 019,01",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,29.11.2024,"-54,04",[counterparty_hash:a079b1ede6],,Эквайринг,
,,29.11.2024,"-99,00",[counterparty_hash:a079b1ede6],,РКО,
,,29.11.2024,"-137 000,00",,,Выбытие — Перевод между счетами,
,,30.11.2024,"42 502,34",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,30.11.2024,"-67,16",[counterparty_hash:a079b1ede6],,Эквайринг,
,,01.12.2024,"26 388,08",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,01.12.2024,"-38,29",[counterparty_hash:a079b1ede6],,Эквайринг,
,,02.12.2024,"13 278,68",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,02.12.2024,"-24,19",[counterparty_hash:a079b1ede6],,Эквайринг,
