dish,top_group,group,me_class,verdict,units_standalone,units_inset_line,set_phantom_units,effective_units,n_sets,sets_structural,sets_behavioral,revenue_standalone,margin_standalone_est,margin_pct,recent3_units,months_active,orders,verdict_reason
Небраска,Роллы,Фирменные роллы,Собака,Оставить,47,0,79,126,1,1,0,16429,10520,64.0,27,7,47,нормальная проходимость в рознице
4 мяса,Пицца,Пицца,Звезда,Оставить,118,0,0,118,0,0,0,70521,49805,70.6,61,7,111,нормальная проходимость в рознице
Банан в шоколаде,Роллы,сладкие роллы,Звезда,Оставить,118,0,0,118,0,0,0,42600,30724,72.1,57,7,114,нормальная проходимость в рознице
Сицилийский,Роллы,Фирменные роллы,Рабочая лошадка,Оставить,117,0,0,117,0,0,0,29345,20199,68.8,67,7,114,нормальная проходимость в рознице
Шаурма BOX с курицей,Шаурма,Шаурма,Звезда,Оставить,114,0,0,114,0,0,0,57888,42704,73.8,45,7,91,нормальная проходимость в рознице
Хиросима,Роллы,Фирменные роллы,Звезда,Оставить,112,0,0,112,0,0,0,38121,27102,71.1,53,7,110,нормальная проходимость в рознице
Сладкий Цыпленок,Пицца,Пицца,Звезда,Оставить,111,0,0,111,0,0,0,74501,52003,69.8,55,7,107,нормальная проходимость в рознице
Палермо,Пицца,Пицца,Звезда,Оставить,107,0,0,107,0,0,0,63597,47141,74.1,65,7,101,нормальная проходимость в рознице
Акацуки,Роллы,Запеченные,Собака,Оставить,39,0,63,102,1,1,0,13034,8823,67.7,19,6,39,нормальная проходимость в рознице
Калифорния с лососем,Роллы,Калифорния,Рабочая лошадка,Оставить,101,0,0,101,0,0,0,35909,23380,65.1,53,7,95,нормальная проходимость в рознице
Гавайская,Пицца,Пицца,Загадка,Оставить,95,0,0,95,0,0,0,60404,40352,66.8,50,7,94,нормальная проходимость в рознице
Ананас киви,Роллы,сладкие роллы,Собака,Оставить,94,0,0,94,0,0,0,32818,22790,69.4,39,7,94,нормальная проходимость в рознице
Шаурма суровая,Шаурма,Шаурма,Собака,Оставить,93,0,0,93,0,0,0,32686,22635,69.3,46,7,84,нормальная проходимость в рознице
Цезарь с креветкой,Пицца,Пицца,Загадка,Оставить,93,0,0,93,0,0,0,81847,55191,67.4,36,7,92,нормальная проходимость в рознице
Классический с чукой,Роллы,Классические,Собака,Оставить,87,0,0,87,0,0,0,11378,9082,79.8,37,7,83,нормальная проходимость в рознице
Эбияма,Роллы,Жареные,Загадка,Оставить,86,0,0,86,0,0,0,38698,27526,71.1,40,7,84,нормальная проходимость в рознице
Якимото,Роллы,Запеченные,Собака,Под наблюдением,20,0,63,83,1,1,0,7201,5430,75.4,12,7,20,"розница слабая (20 шт), сет-роль малая (+63)"
Грибная,Пицца,Пицца,Загадка,Оставить,80,0,0,80,0,0,0,48115,36662,76.2,37,7,74,нормальная проходимость в рознице
Том Ям пикант,Пицца,Пицца,Загадка,Оставить,74,0,0,74,0,0,0,39868,29614,74.3,33,7,71,нормальная проходимость в рознице
