 Регистрация категорий,,,,,Особоые условия по депозитам (Для внештатников проставь НУЛИ),,,,Выдача депозитов,,,,Регистрация вступления в должность старших поваров,,,,Регистрация штрафов и премий,,,,
Дата постановки на категорию,Имя сотрудника,Должность,Категория,,Имя сотрудника,Требуемый депозит (указать при особых условиях),Сумма удержания (указать при особых условиях),,Имя сотрудника,Депозит при уволнении,Коэффициент выдачи ,,Дата вступления в должность,Имя сотрудника,Надбавка,,Дата,Имя сотрудника,Сумма,Вид начисления/списания,[redacted_comment]
30.08.2025,employee_4937b66146,Сушист,5,,,,,,,,,,,,,,30.06.2025,employee_b3338b123c,300,Штрафы и удержания,[redacted_comment]
27.08.2025,employee_10202feb39,Администратор,4,,,,,,,,,,,,,,30.06.2025,employee_51247484d7,300,Штрафы и удержания,[redacted_comment]
02.09.2025,employee_b16f896b29,Сушист,1,,,,,,,,,,,,,,30.06.2025,employee_abf859686b,3000,Премия,[redacted_comment]
06.09.2025,employee_ad25f93d9f,Администратор,4,,,,,,,,,,,,,,29.06.2025,employee_3c4a629691,500,Премия,[redacted_comment]
22.09.2025,employee_1bd2e1ad1c,Сушист,3,,,,,,,,,,,,,,01.07.2025,employee_908545f9b4,1000,Премия,[redacted_comment]
30.09.2025,employee_1bd2e1ad1c,Сушист,2,,,,,,,,,,,,,,01.07.2025,employee_3fa5f3a2b5,500,Штрафы и удержания,[redacted_comment]
26.09.2025,employee_44aa735d3b,Шаурмист,5,,,,,,,,,,,,,,01.07.2025,employee_7448260c20,500,Премия,[redacted_comment]
29.09.2025,employee_c82e1942fd,Сушист,5,,,,,,,,,,,,,,01.07.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
29.09.2025,employee_161660500e,Пиццерист,2,,,,,,,,,,,,,,01.07.2025,employee_445cbb2a20,200,Премия,[redacted_comment]
03.10.2025,employee_f420556a57,Пиццерист,5,,,,,,,,,,,,,,02.07.2025,employee_445cbb2a20,200,Премия,[redacted_comment]
05.10.2025,employee_a285bf7cad,Администратор,4,,,,,,,,,,,,,,02.07.2025,employee_7448260c20,500,Премия,[redacted_comment]
22.10.2025,employee_c82e1942fd,Сушист,3,,,,,,,,,,,,,,02.07.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
22.10.2025,employee_f420556a57,Пиццерист,3,,,,,,,,,,,,,,02.07.2025,employee_908545f9b4,500,Премия,[redacted_comment]
28.10.2025,employee_5f85335cf4,Сушист,5,,,,,,,,,,,,,,06.07.2025,employee_3fa5f3a2b5,300,Штрафы и удержания,[redacted_comment]
06.11.2025,employee_86c0d0bb22,Сушист,5,,,,,,,,,,,,,,07.07.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
19.11.2025,employee_1bd2e1ad1c,Сушист,1,,,,,,,,,,,,,,02.07.2025,employee_445cbb2a20,44,Штрафы и удержания,[redacted_comment]
19.11.2025,employee_44aa735d3b,Сушист,5,,,,,,,,,,,,,,11.07.2025,employee_3fa5f3a2b5,182,Штрафы и удержания,[redacted_comment]
19.11.2025,employee_44aa735d3b,Заготовщик,5,,,,,,,,,,,,,,11.07.2025,employee_abf859686b,19,Штрафы и удержания,[redacted_comment]
03.12.2025,employee_44aa735d3b,Шаурмист,4,,,,,,,,,,,,,,11.07.2025,employee_445cbb2a20,58,Штрафы и удержания,[redacted_comment]
03.12.2025,employee_c82e1942fd,Сушист,2,,,,,,,,,,,,,,08.07.2025,employee_7448260c20,700,Премия,[redacted_comment]
03.12.2025,employee_f420556a57,Пиццерист,2,,,,,,,,,,,,,,08.07.2025,employee_abf859686b,700,Премия,[redacted_comment]
10.12.2025,employee_9594b695e2,Сушист,3,,,,,,,,,,,,,,08.07.2025,employee_908545f9b4,500,Премия,[redacted_comment]
18.12.2025,employee_9b36065fce,Сушист,5,,,,,,,,,,,,,,09.07.2025,employee_908545f9b4,500,Премия,[redacted_comment]
27.12.2025,employee_f07b0e77a2,Сушист,5,,,,,,,,,,,,,,14.07.2025,employee_908545f9b4,500,Премия,[redacted_comment]
03.01.2026,employee_64c46f16b7,Сушист,2,,,,,,,,,,,,,,14.07.2025,employee_7448260c20,5000,Больничные и отпуска и пособия,[redacted_comment]
13.01.2026,employee_a285bf7cad,Администратор,3,,,,,,,,,,,,,,13.07.2025,employee_3fa5f3a2b5,500,Штрафы и удержания,[redacted_comment]
14.01.2026,employee_908545f9b4,Пиццерист,1,,,,,,,,,,,,,,13.07.2025,employee_3c4a629691,600,Премия,[redacted_comment]
14.01.2026,employee_53a5b186a9,Сушист,3,,,,,,,,,,,,,,12.07.2025,employee_5a3e1adb3f,310,Штрафы и удержания,[redacted_comment]
27.01.2026,employee_32048cf02a,Сушист,5,,,,,,,,,,,,,,15.07.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
04.02.2026,employee_64c46f16b7,Сушист,1,,,,,,,,,,,,,,15.07.2025,employee_abf859686b,1500,Штрафы и удержания,[redacted_comment]
04.02.2026,employee_9b36065fce,Сушист,3,,,,,,,,,,,,,,15.07.2025,employee_7448260c20,1000,Штрафы и удержания,[redacted_comment]
11.02.2026,employee_924cd1265f,Шаурмист,4,,,,,,,,,,,,,,14.07.2025,employee_908545f9b4,500,Премия,[redacted_comment]
18.02.2026,employee_53a5b186a9,Сушист,2,,,,,,,,,,,,,,15.07.2025,employee_908545f9b4,500,Премия,[redacted_comment]
19.02.2026,employee_15b9fd024a,Сушист,3,,,,,,,,,,,,,,16.07.2025,employee_908545f9b4,500,Премия,[redacted_comment]
25.02.2026,employee_924cd1265f,Сушист,5,,,,,,,,,,,,,,17.07.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
25.02.2026,employee_15b9fd024a,Сушист,2,,,,,,,,,,,,,,17.07.2025,employee_7448260c20,500,Премия,[redacted_comment]
09.03.2026,employee_f2a23819d8,Шаурмист,5,,,,,,,,,,,,,,17.07.2025,employee_445cbb2a20,500,Премия,[redacted_comment]
11.03.2026,employee_5f0f16a52b,Сушист,5,,,,,,,,,,,,,,22.07.2025,employee_8b0eb48cc4,7000,Больничные и отпуска и пособия,[redacted_comment]
11.03.2026,employee_f420556a57,Сушист,5,,,,,,,,,,,,,,22.07.2025,employee_62c77ec038,2758,Штрафы и удержания,[redacted_comment]
20.03.2026,employee_035a618100,Сушист,5,,,,,,,,,,,,,,18.07.2025,employee_908545f9b4,189,Штрафы и удержания,[redacted_comment]
25.03.2026,employee_035a618100,Сушист,3,,,,,,,,,,,,,,19.07.2025,employee_445cbb2a20,62,Штрафы и удержания,[redacted_comment]
25.03.2026,employee_f420556a57,Сушист,3,,,,,,,,,,,,,,21.07.2025,employee_908545f9b4,500,Премия,[redacted_comment]
25.03.2026,employee_f2a23819d8,Шаурмист,4,,,,,,,,,,,,,,15.07.2025,employee_51247484d7,200,Премия,[redacted_comment]
23.04.2026,employee_44aa735d3b,Сушист,5,,,,,,,,,,,,,,15.07.2025,employee_2dcfa0649d,200,Премия,[redacted_comment]
21.04.2026,employee_eff4f87fa3,Администратор,4,,,,,,,,,,,,,,01.08.2025,employee_7448260c20,877,Удержание НДФЛ,[redacted_comment]
25.04.2026,employee_b0e5843216,Сушист,3,,,,,,,,,,,,,,08.08.2025,employee_7448260c20,878,Удержание НДФЛ,[redacted_comment]
06.05.2026,employee_b0e5843216,Сушист,2,,,,,,,,,,,,,,22.07.2025,employee_5a3e1adb3f,500,Премия,[redacted_comment]
22.05.2026,employee_7ae55ec1c8,Пиццерист,5,,,,,,,,,,,,,,23.07.2025,employee_908545f9b4,500,Премия,[redacted_comment]
